Serial,LeetCode_ID,Problem,Difficulty,Topic,Solved
185,309,Best Time to Buy and Sell Stock with Cooldown,Medium,2D DP,No
186,518,Coin Change II,Medium,2D DP,No
187,494,Target Sum,Medium,2D DP,No
188,97,Interleaving String,Medium,2D DP,No
189,329,Longest Increasing Path in a Matrix,Hard,2D DP,No
190,115,Distinct Subsequences,Hard,2D DP,No
191,72,Edit Distance,Medium,2D DP,No
192,312,Burst Balloons,Hard,2D DP,No
193,10,Regular Expression Matching,Hard,2D DP,No
194,44,Wildcard Matching,Hard,2D DP,No
195,64,Minimum Path Sum,Medium,2D DP,No
196,53,Maximum Subarray,Medium,Greedy,No
197,134,Gas Station,Medium,Greedy,No
198,846,Hand of Straights,Medium,Greedy,No
199,1899,Merge Triplets to Form Target Triplet,Medium,Greedy,No
200,678,Valid Parenthesis String,Medium,Greedy,No
201,252,Meeting Rooms,Easy,Intervals,No
202,1288,Minimum Interval to Include Each Query,Hard,Intervals,No
203,759,Employee Free Time,Hard,Intervals,No
204,191,Number of 1 Bits,Easy,Math & Bit Manipulation,No
205,338,Counting Bits,Easy,Math & Bit Manipulation,No
206,190,Reverse Bits,Easy,Math & Bit Manipulation,No
207,268,Missing Number,Easy,Math & Bit Manipulation,No
208,371,Sum of Two Integers,Medium,Math & Bit Manipulation,No
209,7,Reverse Integer,Medium,Math & Bit Manipulation,No
210,202,Happy Number,Easy,Math & Bit Manipulation,No
211,66,Plus One,Easy,Math & Bit Manipulation,No
212,50,"Pow(x, n)",Medium,Math & Bit Manipulation,No
213,43,Multiply Strings,Medium,Math & Bit Manipulation,No
214,2013,Detect Squares,Medium,Math & Bit Manipulation,No
215,13,Roman to Integer,Easy,Math & Bit Manipulation,No
216,12,Integer to Roman,Medium,Math & Bit Manipulation,No
217,146,LRU Cache,Medium,Design,No
218,460,LFU Cache,Hard,Design,No
219,380,Insert Delete GetRandom O(1),Medium,Design,No
220,706,Design HashMap,Easy,Design,No
221,622,Design Circular Queue,Medium,Design,No
222,1206,Design Skiplist,Hard,Design,No
223,1670,Design Front Middle Back Queue,Medium,Design,No
224,981,Time Based Key-Value Store,Medium,Design,No
225,1472,Design Browser History,Medium,Design,No
226,1348,Design Twitter Timeline (Tweet Counts Per Frequency),Medium,Design,No
227,323,Number of Connected Components in an Undirected Graph,Medium,Union Find,No
228,261,Graph Valid Tree,Medium,Union Find,No
229,684,Redundant Connection,Medium,Union Find,No
230,721,Accounts Merge,Medium,Union Find,No
231,305,Number of Islands II,Hard,Union Find,No
232,1101,The Earliest Moment When Everyone Become Friends,Medium,Union Find,No
233,952,Largest Component Size by Common Factor,Hard,Union Find,No
234,1319,Number of Operations to Make Network Connected,Medium,Union Find,No
235,547,Number of Provinces,Medium,Union Find,No
236,1584,Min Cost to Connect All Points,Medium,Union Find,No
237,1971,Find if Path Exists in Graph,Easy,Union Find,No
238,990,Satisfiability of Equality Equations,Medium,Union Find,No
239,1319,Number of Operations to Make Network Connected (dup check),Medium,Union Find,No
240,1631,Path With Minimum Effort,Medium,Union Find,No
241,49,Group Anagrams II (Category Sort variant),Medium,Arrays & Hashing,No
242,54,Spiral Matrix,Medium,Arrays & Hashing,No
243,48,Rotate Image,Medium,Arrays & Hashing,No
244,79,Word Search (dup ref),Medium,Backtracking,No
245,1029,Two City Scheduling,Medium,Greedy,No
246,435,Non-overlapping Intervals (dup ref),Medium,Intervals,No
247,1899,Merge Triplets (dup ref),Medium,Greedy,No
248,853,Car Fleet (dup ref),Medium,Stack,No
249,1235,Maximum Profit in Job Scheduling,Hard,2D DP,No
250,140,Word Break II,Hard,1D DP,No
251,472,Concatenated Words,Hard,Tries,No
252,676,Implement Magic Dictionary,Medium,Tries,No
253,1268,Search Suggestions System,Medium,Tries,No
254,428,Serialize and Deserialize N-ary Tree,Hard,Trees,No
255,987,Vertical Order Traversal (dup ref),Hard,Trees,No
256,236,Lowest Common Ancestor of a Binary Tree,Medium,Trees,No
257,1123,Lowest Common Ancestor of Deepest Leaves,Medium,Trees,No
258,863,All Nodes Distance K in Binary Tree,Medium,Trees,No
259,1110,Delete Nodes And Return Forest,Medium,Trees,No
260,437,Path Sum III,Medium,Trees,No
261,1584,Min Cost to Connect All Points (dup ref),Medium,Graphs,No
262,847,Shortest Path Visiting All Nodes,Hard,Graphs,No
263,1091,Shortest Path in Binary Matrix,Medium,Graphs,No
264,2115,Find All Possible Recipes from Given Supplies,Medium,Graphs,No
265,1136,Parallel Courses,Medium,Graphs,No
266,1631,Path With Minimum Effort (dup ref),Medium,Graphs,No
267,79,Word Search (dup ref 2),Medium,Backtracking,No
268,996,Number of Squareful Arrays,Hard,Backtracking,No
269,282,Expression Add Operators,Hard,Backtracking,No
270,301,Remove Invalid Parentheses,Hard,Backtracking,No
271,1240,Tiling a Rectangle with the Fewest Squares,Hard,Backtracking,No
272,131,Palindrome Partitioning (dup ref),Medium,Backtracking,No
273,132,Palindrome Partitioning II,Hard,1D DP,No
274,1027,Longest Arithmetic Subsequence,Medium,1D DP,No
275,1218,Longest Arithmetic Subsequence of Given Difference,Medium,1D DP,No
276,673,Number of Longest Increasing Subsequence,Medium,1D DP,No
277,1035,Uncrossed Lines,Medium,2D DP,No
278,516,Longest Palindromic Subsequence,Medium,2D DP,No
279,583,Delete Operation for Two Strings,Medium,2D DP,No
280,712,Minimum ASCII Delete Sum for Two Strings,Medium,2D DP,No
281,174,Dungeon Game,Hard,2D DP,No
282,85,Maximal Rectangle,Hard,2D DP,No
283,221,Maximal Square,Medium,2D DP,No
284,363,Max Sum of Rectangle No Larger Than K,Hard,2D DP,No
285,1039,Minimum Score Triangulation of Polygon,Medium,2D DP,No
286,1140,Stone Game II,Medium,2D DP,No
287,877,Stone Game,Medium,Greedy,No
288,55,Jump Game (dup ref),Medium,Greedy,No
289,948,Bag of Tokens,Medium,Greedy,No
290,1029,Two City Scheduling (dup ref),Medium,Greedy,No
291,406,Queue Reconstruction by Height,Medium,Greedy,No
292,452,Minimum Number of Arrows to Burst Balloons,Medium,Intervals,No
293,1235,Maximum Profit in Job Scheduling (dup ref),Hard,Intervals,No
294,57,Insert Interval (dup ref),Medium,Intervals,No
295,1834,Single-Threaded CPU,Medium,Heap,No
296,857,Minimum Cost to Hire K Workers,Hard,Heap,No
297,1642,Furthest Building You Can Reach,Medium,Heap,No
298,2402,Meeting Rooms III,Hard,Heap,No
299,2251,Number of Flowers in Full Bloom,Hard,Binary Search,No
300,1201,Ugly Number III,Medium,Math & Bit Manipulation,No
